recept,kategorija,mesto
1000411205330174,15,0
1000411205330174,18,1
1000411205330174,27,2
1000411205330174,32,3
1000411205330174,42,4
1000411205330174,48,5
1000411205330174,50,6
1000411205330174,71,7
1000411205330174,99,8
1000411205330174,124,9
1000411205330174,152,10
1000411205330174,211,11
1000411205330174,9948,12
1000651205335998,11,0
1000651205335998,12,1
1000651205335998,45,2
1000651205335998,114,3
1000651205335998,115,4
100091040109216,11,0
100091040109216,50,1
100091040109216,64,2
100091040109216,87,3
100091040109216,102,4
100091040109216,156,5
1001501205406181,11,0
1001501205406181,27,1
1001501205406181,48,2
1001501205406181,50,3
1001501205406181,78,4
1001501205406181,126,5
1001501205406181,150,6
1002271205478524,14,0
1002271205478524,16,1
1002271205478524,18,2
1002271205478524,21,3
1002271205478524,48,4
1002271205478524,49,5
1002271205478524,50,6
1002271205478524,58,7
1002271205478524,61,8
1002271205478524,116,9
1002271205478524,123,10
1002271205478524,9947,11
1002271205478524,9948,12
1003701205584756,14,0
1003701205584756,18,1
1003701205584756,21,2
1003701205584756,24,3
1003701205584756,31,4
1003701205584756,32,5
1003701205584756,45,6
1003701205584756,69,7
1003701205584756,123,8
100401040226926,10,0
100401040226926,11,1
100401040226926,50,2
100401040226926,126,3
100411040228201,10,0
100411040228201,11,1
100411040228201,50,2
100411040228201,126,3
1005781205749454,11,0
1005781205749454,12,1
1005781205749454,50,2
1006991205844077,15,0
1006991205844077,18,1
1006991205844077,27,2
1006991205844077,32,3
1006991205844077,45,4
1006991205844077,48,5
1006991205844077,57,6
1006991205844077,152,7
1006991205844077,7710,8
100771040635724,11,0
100771040635724,50,1
100771040635724,64,2
100771040635724,79,3
100771040635724,142,4
1007831205915931,14,0
1007831205915931,18,1
1007831205915931,21,2
1007831205915931,24,3
1007831205915931,32,4
1007831205915931,40,5
1007831205915931,49,6
1007831205915931,50,7
1007831205915931,54,8
1007831205915931,56,9
1007831205915931,57,10
1007831205915931,140,11
1007831205915931,144,12
1007831205915931,148,13
1007831205915931,159,14
1007831205915931,165,15
1008551205940313,19,0
1008551205940313,26,1
1008551205940313,40,2
1008551205940313,42,3
1008551205940313,47,4
1008551205940313,106,5
1008551205940313,144,6
1008691205995456,16,0
1008691205995456,21,1
1008691205995456,27,2
1008691205995456,48,3
1008691205995456,59,4
1008691205995456,69,5
1008691205995456,99,6
1008691205995456,106,7
1008691205995456,140,8
1008691205995456,9947,9
1008691205995456,9948,10
100961040660758,14,0
100961040660758,18,1
100961040660758,21,2
100961040660758,32,3
100961040660758,57,4
100961040660758,107,5
100961040660758,123,6
1009791206101648,16,0
1009791206101648,21,1
1009791206101648,49,2
1009791206101648,50,3
1009791206101648,55,4
1009791206101648,56,5
1009791206101648,58,6
1009791206101648,69,7
1009791206101648,136,8
1009791206101648,211,9
1009791206101648,7710,10
1009791206101648,9947,11
1009791206101648,9948,12
1009881206105821,15,0
1009881206105821,15,0
1009881206105821,18,1
1009881206105821,18,1
1009881206105821,19,2
1009881206105821,19,2
1009881206105821,20,3
1009881206105821,20,3
1009881206105821,32,4
1009881206105821,32,4
1009881206105821,48,5
1009881206105821,48,5
1009881206105821,55,6
1009881206105821,55,6
1009881206105821,56,7
1009881206105821,56,7
1009881206105821,64,8
1009881206105821,64,8
1009881206105821,77,9
1009881206105821,77,9
1009881206105821,99,10
1009881206105821,99,10
1009881206105821,143,11
1009881206105821,143,11
1009881206105821,3669,12
1009881206105821,3669,12
1010271206175483,15,0
1010271206175483,15,0
1010271206175483,18,1
1010271206175483,18,1
1010271206175483,25,2
1010271206175483,25,2
1010271206175483,27,3
1010271206175483,27,3
1010271206175483,48,4
1010271206175483,48,4
1010271206175483,49,5
1010271206175483,49,5
1010271206175483,50,6
1010271206175483,50,6
1010271206175483,55,7
1010271206175483,55,7
1010271206175483,56,8
1010271206175483,56,8
1010271206175483,71,9
1010271206175483,71,9
1010271206175483,78,10
1010271206175483,78,10
1010271206175483,112,11
1010271206175483,112,11
1010271206175483,3669,12
1010271206175483,3669,12
1010341206179158,11,0
1010341206179158,32,1
1010341206179158,50,2
1010341206179158,57,3
1010341206179158,79,4
1010341206179158,109,5
1010341206179158,144,6
1010341206179158,146,7
1010341206179158,150,8
101131040827804,13,0
101131040827804,14,1
101131040827804,18,2
101131040827804,32,3
101131040827804,36,4
101131040827804,48,5
101131040827804,68,6
101131040827804,107,7
1011371206295010,11,0
1011371206295010,12,1
1011371206295010,45,2
1011371206295010,50,3
1011391206296527,11,0
1011391206296527,12,1
1011391206296527,45,2
1011391206296527,50,3
1011401206296651,11,0
1011401206296651,12,1
1011401206296651,45,2
1011401206296651,50,3
1011541206342841,14,0
1011541206342841,18,1
1011541206342841,21,2
1011541206342841,27,3
1011541206342841,37,4
1011541206342841,49,5
1011541206342841,50,6
1011541206342841,58,7
1011541206342841,76,8
1011541206342841,99,9
1011541206342841,116,10
1011541206342841,1609,11
1012021206369953,11,0
1012021206369953,12,1
1012021206369953,45,2
1012021206369953,50,3
101261041001067,16,0
101261041001067,18,1
101261041001067,21,2
101261041001067,27,3
101261041001067,36,4
101261041001067,50,5
