recept,sestavina
1000411205330174,"Chilischote(n), frische rote"
1000411205330174,Feta-Käse 
1000411205330174,Kichererbsen (800 g)
1000411205330174,Olivenöl 
1000411205330174,Olivenöl zum Braten 
1000411205330174,Paprikaschote(n) 
1000411205330174,"Petersilie, glatte "
1000411205330174,Rotweinessig 
1000411205330174,Salz 
1000411205330174,Zitronensaft 
1000411205330174,Zucchini 
1000411205330174,Zucker 
1000411205330174,"Zwiebel(n), rote "
1000651205335998,Cachaça 
1000651205335998,"Eis, kann auch Crush-Eis sein"
1000651205335998,Limette(n) /Limone
1000651205335998,"Mineralwasser, zum Schluss"
1000651205335998,"Rohrzucker, weißer, oder auch mehr"
100091040109216,Honig 
100091040109216,"Orange(n), den Saft davon"
100091040109216,Orangenlikör 
100091040109216,"Sahne, geschlagen"
100091040109216,"Tee, schwarzer"
100091040109216,Zimt 
100091040109216,"Zitrone(n), den Saft davon"
1001501205406181,Holunderblütendolden 
1001501205406181,"Wein, weiß"
1001501205406181,"Zitrone(n), unbehandelte"
1001501205406181,Zitronensäure 
1001501205406181,"Zucker, (Einmachzucker)"
1002271205478524,"Currypaste, rote (Thaicurry)"
1002271205478524,Fischsauce 
1002271205478524,"Gemüse (z.B. grüne Bohnen, Karotten, kleine Maiskölbchen, Spargel)"
1002271205478524,"Hähnchenbrustfilet(s), geschnetzeltes"
1002271205478524,Kokosmilch 
1002271205478524,Koriandergrün 
1002271205478524,Maisstärke 
1002271205478524,"Nüsse (z.B. Cashew, Erdnüsse)"
1002271205478524,Wasser 
1002271205478524,Öl (Erdnussöl)
1003701205584756,"Asiasauce (Pad Thai Sauce, Asiashop)"
1003701205584756,Austernsauce 
1003701205584756,Ei(er) 
1003701205584756,Essig 
1003701205584756,Frühlingszwiebel(n) 
1003701205584756,Möhre(n) 
1003701205584756,Pak Choi oder Chinakohl oder Spitzkohl
1003701205584756,Reisnudeln 
1003701205584756,Sojasauce 
1003701205584756,Sojasprossen 
1003701205584756,Zucker 
1003701205584756,Öl zum Braten
100401040226926,Ananassaft 
100401040226926,Banane(n) - Nektar
100401040226926,"Eis, gewürfelt"
100401040226926,"Früchte, zum Garnieren"
100401040226926,Maracujasaft 
100401040226926,süße Sahne 
100411040228201,Cream of Coconut 
100411040228201,"Eis, Vanille"
100411040228201,Kokosraspel 
100411040228201,Milch 
100411040228201,Sirup 
1005781205749454,Likör 43 (Cuarenta y tres)
1005781205749454,Milch 
1005781205749454,Orangensaft 
1006991205844077,Gurke(n) (Bauerngurken)
1006991205844077,"Koriander, gemahlen"
1006991205844077,Olivenöl 
1006991205844077,"Petersilie, glatte (großer Bund)"
1006991205844077,Salz und Pfeffer 
1006991205844077,"Tomate(n), aromatische"
1006991205844077,"Zitrone(n), den Saft davon"
1006991205844077,"Zwiebel(n), sehr fein gehackt"
100771040635724,Crème de Cassis 
100771040635724,Kardamom 
100771040635724,Nelke(n) 
100771040635724,Piment 
100771040635724,Rum 56%
100771040635724,Sternanis 
100771040635724,Zimt 
1007831205915931,Chiliflocken 
